#DEPTH,AC,DEN,CNL
2208.625,281.41,2.1,34.93
2208.75,294.89,2.13,37
2208.875,308.73,2.18,39.89
2209,315.07,2.21,42
2209.125,320.59,2.22,42
2209.25,329.44,2.21,41
2209.375,326.52,2.2,41
2209.5,313.73,2.19,41
2209.625,306.73,2.16,40.04
2209.75,307.3,2.1,40
2209.875,316.87,2.03,40.96
2210,344.94,1.98,45
2210.125,376.77,1.98,49.81
2210.25,399.51,2.03,53
2210.375,406.36,2.11,51.08
2210.5,399.18,2.16,49
2210.625,374.35,2.17,49
2210.75,344.53,2.15,49
2210.875,321.47,2.15,49
2211,299.13,2.2,49
2211.125,285.45,2.28,46.11
2211.25,277.55,2.37,41
2211.375,268.28,2.45,38.11
2211.5,260.09,2.51,36
2211.625,262.01,2.54,36
2211.75,270.41,2.55,36
2211.875,274.74,2.54,36
2212,278.41,2.5,36
